,accommodates,price,host_total_listings_count,review_scores_rating,latitude,longitude,availability_365,distance_to_center,instant_bookable,room_type
122,2.0,154.0,1.0,4.84,40.71624,-73.994,296,1.0853542413581416,f,Entire home/apt
123,2.0,170.0,2.0,4.97,40.77868,-73.90652,78,11.137067830204817,f,Private room
124,4.0,117.0,11.0,4.34,40.71567,-73.87842,365,10.759043739510092,f,Entire home/apt
125,7.0,224.0,11.0,4.0,40.70422,-73.89778,365,9.172062092390824,f,Entire home/apt
126,12.0,299.0,11.0,4.71,40.71778,-73.87714,365,10.876295655803679,f,Entire home/apt
127,2.0,172.0,1.0,4.86,40.80255,-73.95803,365,10.774513182418055,f,Private room
128,2.0,107.0,3.0,4.8,40.6789595110935,-73.97409474641334,232,4.619651036401601,f,Private room
131,2.0,125.0,1.0,4.87,40.79934,-73.94236,359,11.02269346163846,f,Private room
132,1.0,145.0,2.0,4.86,40.71065,-73.95087,54,4.653702980476045,f,Private room
133,2.0,222.0,1.0,4.58,40.695588790857855,-73.95461923691613,364,4.733092680695209,f,Private room
136,4.0,513.0,40.0,5.0,40.73756,-73.9535,57,5.216152995762668,f,Hotel room
137,4.0,428.0,40.0,4.7,40.73777,-73.95366,60,5.217138549481222,f,Private room
140,3.0,105.0,19.0,4.88,40.772472,-73.906075,264,10.724860080156871,f,Entire home/apt
141,2.0,292.0,5.0,4.68,40.69003,-73.99338,180,2.739461658202026,f,Private room
143,2.0,116.0,2.0,4.88,40.80747,-73.94076,307,11.882315035576779,f,Entire home/apt
144,2.0,44.0,2.0,4.71,40.8238,-73.94444,309,13.395057964598013,f,Private room
145,2.0,150.0,1.0,4.67,40.71946,-73.98641,59,1.8139830789739584,f,Entire home/apt
146,4.0,428.0,40.0,4.0,40.73777,-73.95366,60,5.217138549481222,f,Private room
148,5.0,165.0,1.0,4.92,40.68433,-73.94469,288,6.057952436502204,f,Entire home/apt
149,3.0,73.0,6.0,4.44,40.68769,-73.91788,335,7.934337262956486,f,Entire home/apt
150,1.0,166.0,4.0,5.0,40.69132,-73.98573,334,2.9310002562399515,f,Private room
151,2.0,381.0,40.0,4.9,40.73777,-73.95366,58,5.217138549481222,f,Hotel room
152,10.0,800.0,5.0,4.86,40.68513,-73.96648,358,4.530513386411895,f,Entire home/apt
154,5.0,165.0,3.0,4.72,40.684569430603325,-73.93840021354636,290,6.503460355406568,t,Entire home/apt
155,2.0,163.0,1.0,4.87,40.6736,-73.9551,78,6.111996953748308,f,Entire home/apt
156,9.0,223.0,11.0,4.75,40.70271,-73.8993,365,9.063836483119058,f,Entire home/apt
159,2.0,125.0,4.0,4.84,40.792667388916016,-73.946533203125,159,10.203708889685279,f,Entire home/apt
161,1.0,162.0,2.0,4.86,40.60602,-73.97076,361,12.232394488848946,f,Private room
163,2.0,105.0,3.0,4.93,40.68877615321917,-73.97762359693657,295,3.5807456141773417,t,Private room
