id,price,accommodates,room_type,bedrooms,beds,bathrooms,neighbourhood_group_cleansed,minimum_nights,instant_bookable,review_scores_rating,host_is_superhost,host_total_listings_count,availability_365,latitude,longitude,city
39282,147.0,2,Private room,1.0,1.0,1.0,Brooklyn,4,False,4.83,True,2.0,25,40.71065139770508,-73.95087432861328,NYC
64314,72.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,True,4.82,False,2.0,215,40.67634,-73.95143,NYC
64365,57.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.79,True,4.0,274,40.67579,-73.95072,NYC
65660,108.0,3,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.52,False,2.0,90,40.70797,-73.94792,NYC
66008,225.0,4,Entire home/apt,2.0,2.0,1.0,Brooklyn,30,False,4.86,False,1.0,306,40.68028,-73.99328,NYC
66251,349.0,2,Entire home/apt,0.0,1.0,1.0,Manhattan,30,False,4.93,False,2.0,145,40.72547,-73.98619,NYC
66974,209.0,2,Entire home/apt,1.0,1.0,1.0,Brooklyn,30,False,4.98,False,2.0,267,40.68088,-73.99102,NYC
42300,563.0,5,Entire home/apt,3.0,4.0,2.0,Manhattan,30,False,4.8,False,2.0,185,40.71992,-73.99167,NYC
42729,254.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.67,False,13.0,364,40.67813,-74.00062,NYC
44229,110.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.69,False,5.0,365,40.69287,-73.97108,NYC
45910,428.0,16,Entire home/apt,5.0,9.0,2.5,Queens,30,False,4.42,False,11.0,365,40.70309,-73.89963,NYC
45935,60.0,1,Private room,1.0,1.0,1.0,Bronx,30,True,,False,2.0,263,40.80635,-73.92201,NYC
45936,99.0,2,Private room,1.0,1.0,1.0,Manhattan,30,False,4.67,True,2.0,167,40.8063,-73.95985,NYC
46911,86.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.73,True,3.0,288,40.68009896425498,-73.9746189673198,NYC
49048,95.0,3,Private room,1.0,2.0,2.0,Brooklyn,30,False,4.5,True,6.0,134,40.6829,-73.95701,NYC
67299,180.0,4,Entire home/apt,1.0,2.0,1.0,Brooklyn,30,False,4.9,True,2.0,48,40.71516,-73.96448,NYC
68735,190.0,2,Entire home/apt,1.0,1.0,1.0,Manhattan,30,False,4.97,False,1.0,292,40.78846,-73.97459,NYC
68974,658.0,7,Entire home/apt,3.0,4.0,1.0,Manhattan,30,False,4.87,False,1.0,174,40.72,-73.99487,NYC
74680,119.0,3,Private room,1.0,2.0,1.0,Queens,30,False,4.67,False,3.0,365,40.77507,-73.93367,NYC
75635,154.0,2,Entire home/apt,0.0,1.0,1.0,Manhattan,30,False,4.84,False,1.0,296,40.71624,-73.994,NYC
52689,170.0,2,Private room,2.0,2.0,1.0,Queens,3,False,4.97,True,2.0,78,40.77868,-73.90652,NYC
53469,117.0,4,Entire home/apt,1.0,1.0,1.0,Queens,30,False,4.34,False,11.0,365,40.71567,-73.87842,NYC
53470,224.0,7,Entire home/apt,2.0,3.0,1.0,Queens,30,False,4.0,False,11.0,365,40.70422,-73.89778,NYC
53477,299.0,12,Entire home/apt,4.0,8.0,2.0,Queens,30,False,4.71,False,11.0,365,40.71778,-73.87714,NYC
54466,172.0,2,Private room,1.0,1.0,1.0,Manhattan,30,False,,False,1.0,365,40.80255,-73.95803,NYC
54508,107.0,2,Private room,1.0,1.0,1.5,Brooklyn,3,False,4.8,True,3.0,232,40.6789595110935,-73.97409474641334,NYC
54860,125.0,2,Private room,1.0,1.0,1.0,Manhattan,30,False,4.87,False,1.0,359,40.79934,-73.94236,NYC
55959,145.0,1,Private room,1.0,1.0,1.0,Brooklyn,4,False,4.86,True,2.0,54,40.71065,-73.95087,NYC
75658,222.0,2,Private room,1.0,1.0,1.0,Brooklyn,30,False,4.58,False,1.0,364,40.695588790857855,-73.95461923691613,NYC
80684,513.0,4,Hotel room,1.0,2.0,1.0,Brooklyn,1,False,5.0,False,40.0,57,40.73756,-73.9535,NYC
